"Time (s) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.020,-0.003,
0.040,-0.004,-0.025
0.060,-0.004,0.017
0.080,-0.003,0.042
0.100,-0.002,0.059
0.120,-0.001,0.076
0.140,0.001,0.093
0.160,0.003,0.084
0.180,0.005,0.042
0.200,0.005,-1.735E-16
0.220,0.004,-0.017
0.240,0.004,-0.017
0.260,0.004,-0.042
0.280,0.003,-0.084
0.300,0.000,-0.093
0.320,-0.002,-0.051
0.340,-0.002,0.017
0.360,-0.001,0.067
0.380,0.001,0.093
0.400,0.003,0.084
0.420,0.005,0.051
0.440,0.005,0.034
0.460,0.005,0.059
0.480,0.007,0.101
0.500,0.010,0.093
0.520,0.012,0.017
0.540,0.011,-0.093
0.560,0.008,-0.185
0.580,0.003,-0.227
0.600,-0.002,-0.211
0.620,-0.006,-0.135
0.640,-0.008,-0.025
0.660,-0.007,0.084
0.680,-0.004,0.152
0.700,-1.084E-17,0.160
0.720,0.003,0.126
0.740,0.005,0.067
0.760,0.006,-8.674E-17
0.780,0.005,-0.059
0.800,0.003,-0.093
0.820,0.001,-0.093
0.840,-0.001,-0.059
0.860,-0.002,0.017
0.880,-0.001,0.126
0.900,0.003,0.236
0.920,0.009,0.320
0.940,0.016,0.362
0.960,0.024,0.362
0.980,0.031,0.328
1.000,0.037,0.295
1.020,0.042,0.286
1.040,0.049,0.295
1.060,0.055,0.303
1.080,0.061,0.303
1.100,0.067,0.303
1.120,0.073,0.295
1.140,0.079,0.278
1.160,0.084,0.261
1.180,0.089,0.261
1.200,0.094,0.278
1.220,0.100,0.286
1.240,0.106,0.278
1.260,0.111,0.261
1.280,0.116,0.253
1.300,0.121,0.253
1.320,0.126,0.253
1.340,0.131,0.261
1.360,0.136,0.278
1.380,0.142,0.286
1.400,0.149,0.269
1.420,0.154,0.244
1.440,0.158,0.244
1.460,0.163,0.269
1.480,0.169,0.278
1.500,0.175,0.253
1.520,0.179,0.227
1.540,0.183,0.227
1.560,0.188,0.244
1.580,0.193,0.253
1.600,0.198,0.261
1.620,0.203,0.269
1.640,0.209,0.278
1.660,0.214,0.286
1.680,0.220,0.295
1.700,0.226,0.303
1.720,0.232,0.303
1.740,0.238,0.303
1.760,0.245,0.295
1.780,0.251,0.278
1.800,0.256,0.261
1.820,0.261,0.253
1.840,0.266,0.253
1.860,0.271,0.261
1.880,0.276,0.269
1.900,0.282,0.261
1.920,0.287,0.236
1.940,0.291,0.219
1.960,0.295,0.227
1.980,0.300,0.244
2.000,0.305,0.253
2.020,0.310,0.261
2.040,0.315,0.278
2.060,0.321,0.286
2.080,0.327,0.286
2.100,0.332,0.278
2.120,0.339,0.269
2.140,0.344,0.253
2.160,0.349,0.227
2.180,0.353,0.219
2.200,0.357,0.227
2.220,0.362,0.244
2.240,0.367,0.244
2.260,0.372,0.227
2.280,0.376,0.219
2.300,0.380,0.227
2.320,0.385,0.244
2.340,0.390,0.253
2.360,0.395,0.261
2.380,0.400,0.269
2.400,0.406,0.261
2.420,0.411,0.227
2.440,0.415,0.168
2.460,0.418,0.109
2.480,0.419,0.067
2.500,0.420,0.067
2.520,0.421,0.101
2.540,0.424,0.135
2.560,0.427,0.160
2.580,0.430,0.177
2.600,0.435,0.202
2.620,0.439,0.219
2.640,0.444,0.211
2.660,0.448,0.185
2.680,0.451,0.160
2.700,0.454,0.160
2.720,0.457,0.185
2.740,0.461,0.244
2.760,0.466,0.345
2.780,0.474,0.463
2.800,0.485,0.556
2.820,0.497,0.606
2.840,0.509,0.648
2.860,0.522,0.724
2.880,0.538,0.825
2.900,0.556,0.909
2.920,0.575,0.960
2.940,0.594,1.011
2.960,0.614,1.103
2.980,0.638,1.213
3.000,0.664,1.280
3.020,0.690,1.280
3.040,0.715,1.238
3.060,0.740,1.196
3.080,0.763,1.171
3.100,0.786,1.154
3.120,0.809,1.120
3.140,0.832,1.036
3.160,0.852,0.893
3.180,0.868,0.716
3.200,0.880,0.547
3.220,0.889,0.413
3.240,0.896,0.269
3.260,0.901,0.084
3.280,0.900,-0.101
3.300,0.895,-0.194
3.320,0.890,-0.152
3.340,0.888,-0.051
3.360,0.889,0.008
3.380,0.890,-0.025
3.400,0.889,-0.109
3.420,0.885,-0.152
3.440,0.881,-0.109
3.460,0.880,-0.034
3.480,0.881,1.166E-13
3.500,0.881,-0.017
3.520,0.880,-0.034
3.540,0.879,-0.017
3.560,0.879,0.017
3.580,0.880,0.034
3.600,0.881,0.008
3.620,0.881,-0.042
3.640,0.879,-0.067
3.660,0.877,-0.042
3.680,0.877,0.017
3.700,0.878,0.076
3.720,0.880,-0.581
3.740,0.883,-3.705
3.760,0.802,-9.499
3.780,0.511,-14.619
3.800,0.112,-14.619
3.820,-0.181,-9.272
3.840,-0.260,-3.166
3.860,-0.229,0.067
3.880,-0.219,0.556
3.900,-0.213,0.278
3.920,-0.209,0.194
3.940,-0.206,0.152
3.960,-0.203,0.126
3.980,-0.201,0.109
4.000,-0.199,0.101
4.020,-0.197,0.093
4.040,-0.195,0.067
4.060,-0.194,0.034
4.080,-0.194,0.017
4.100,-0.194,0.025
4.120,-0.193,0.034
4.140,-0.192,0.017
4.160,-0.192,-0.008
4.180,-0.193,4.510E-14
4.200,-0.193,0.034
4.220,-0.191,0.051
4.240,-0.190,0.034
4.260,-0.190,0.017
4.280,-0.190,0.025
4.300,-0.189,0.034
4.320,-0.188,0.025
4.340,-0.188,0.017
4.360,-0.188,0.025
4.380,-0.187,0.034
4.400,-0.186,0.017
4.420,-0.186,-0.017
4.440,-0.187,-0.034
4.460,-0.188,-0.017
4.480,-0.188,0.017
4.500,-0.187,0.034
4.520,-0.186,0.025
4.540,-0.186,0.017
4.560,-0.186,0.025
4.580,-0.185,0.034
4.600,-0.184,0.025
4.620,-0.184,0.017
4.640,-0.184,0.017
4.660,-0.183,0.017
4.680,-0.183,0.017
4.700,-0.183,0.034
4.720,-0.182,0.059
4.740,-0.180,0.059
4.760,-0.179,0.042
4.780,-0.179,0.034
4.800,-0.178,0.042
4.820,-0.177,0.042
4.840,-0.176,0.025
4.860,-0.176,0.008
4.880,-0.176,3.123E-14
4.900,-0.176,-2.706E-14
4.920,-0.176,4.927E-14
4.940,-0.176,4.372E-14
4.960,-0.176,0.008
4.980,-0.176,0.025
5.000,-0.175,0.034
5.020,-0.174,0.017
5.040,-0.174,-0.008
5.060,-0.175,-0.008
5.080,-0.175,0.017
5.100,-0.174,0.034
5.120,-0.173,0.017
5.140,-0.173,-0.008
5.160,-0.174,-0.017
5.180,-0.174,3.123E-14
5.200,-0.174,0.017
5.220,-0.173,0.017
5.240,-0.173,0.017
5.260,-0.173,0.025
5.280,-0.172,0.042
5.300,-0.171,0.042
5.320,-0.170,0.025
5.340,-0.170,0.017
5.360,-0.170,0.034
5.380,-0.169,
5.400,-0.167,
