"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1"
0.000,0.0045,
0.020,0.0047,0.009
0.040,0.0049,0.004
0.060,0.0049,0.001
0.080,0.0049,0.001
0.100,0.0049,0.002
0.120,0.0050,0.003
0.140,0.0050,0.003
0.160,0.0051,0.001
0.180,0.0051,-0.002
0.200,0.0050,-0.006
0.220,0.0049,-0.008
0.240,0.0046,-0.007
0.260,0.0045,-0.004
0.280,0.0045,-0.001
0.300,0.0045,0.000
0.320,0.0045,0.000
0.340,0.0045,0.000
0.360,0.0045,0.000
0.380,0.0045,0.000
0.400,0.0045,0.000
0.420,0.0045,-0.001
0.440,0.0045,-0.003
0.460,0.0044,-0.004
0.480,0.0042,-0.002
0.500,0.0042,0.002
0.520,0.0044,0.006
0.540,0.0045,0.010
0.560,0.0047,0.014
0.580,0.0051,0.017
0.600,0.0055,0.017
0.620,0.0058,0.016
0.640,0.0061,0.015
0.660,0.0064,0.014
0.680,0.0067,0.013
0.700,0.0069,0.012
0.720,0.0072,0.012
0.740,0.0074,0.011
0.760,0.0076,0.009
0.780,0.0078,0.006
0.800,0.0079,0.002
0.820,0.0079,-0.003
0.840,0.0078,-0.007
0.860,0.0075,-0.007
0.880,0.0074,-0.004
0.900,0.0074,-0.001
0.920,0.0074,0.001
0.940,0.0074,0.003
0.960,0.0075,0.006
0.980,0.0076,0.008
1.000,0.0079,0.010
1.020,0.0080,0.012
1.040,0.0084,0.012
1.060,0.0086,0.010
1.080,0.0087,0.006
1.100,0.0089,0.003
1.120,0.0089,0.001
1.140,0.0089,0.001
1.160,0.0089,0.003
1.180,0.0090,0.006
1.200,0.0091,0.010
1.220,0.0093,0.014
1.240,0.0097,0.019
1.260,0.0101,0.025
1.280,0.0107,0.031
1.300,0.0114,0.036
1.320,0.0121,0.041
1.340,0.0130,0.047
1.360,0.0141,0.053
1.380,0.0152,0.057
1.400,0.0162,0.062
1.420,0.0176,0.068
1.440,0.0190,0.073
1.460,0.0205,0.078
1.480,0.0221,0.084
1.500,0.0239,0.089
1.520,0.0257,0.093
1.540,0.0275,0.098
1.560,0.0296,0.104
1.580,0.0318,0.109
1.600,0.0340,0.113
1.620,0.0363,0.118
1.640,0.0387,0.123
1.660,0.0412,0.128
1.680,0.0438,0.133
1.700,0.0466,0.138
1.720,0.0494,0.143
1.740,0.0523,0.149
1.760,0.0553,0.155
1.780,0.0584,0.160
1.800,0.0617,0.164
1.820,0.0650,0.168
1.840,0.0684,0.173
1.860,0.0719,0.179
1.880,0.0755,0.184
1.900,0.0793,0.189
1.920,0.0831,0.195
1.940,0.0871,0.202
1.960,0.0912,0.208
1.980,0.0954,0.212
2.000,0.0997,0.217
2.020,0.1040,0.223
2.040,0.1087,0.229
2.060,0.1133,0.234
2.080,0.1180,0.238
2.100,0.1228,0.244
2.120,0.1277,0.249
2.140,0.1328,0.255
2.160,0.1379,0.261
2.180,0.1432,0.266
2.200,0.1485,0.270
2.220,0.1540,0.274
