"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,-0.0133,,
0.020,-0.0144,-0.058,
0.040,-0.0156,-0.055,0.152
0.060,-0.0166,-0.052,0.177
0.080,-0.0177,-0.047,0.202
0.100,-0.0186,-0.043,0.227
0.120,-0.0194,-0.038,0.253
0.140,-0.0201,-0.033,0.295
0.160,-0.0207,-0.027,0.354
0.180,-0.0212,-0.019,0.421
0.200,-0.0216,-0.010,0.463
0.220,-0.0216,0.000,0.463
0.240,-0.0216,0.009,0.429
0.260,-0.0212,0.017,0.362
0.280,-0.0209,0.024,0.269
0.300,-0.0203,0.028,0.160
0.320,-0.0196,0.030,0.067
0.340,-0.0190,0.030,0.017
0.360,-0.0184,0.030,-0.008
0.380,-0.0178,0.030,-0.034
0.400,-0.0172,0.029,-0.067
0.420,-0.0166,0.027,-0.084
0.440,-0.0161,0.025,-0.076
0.460,-0.0156,0.024,-0.076
0.480,-0.0152,0.023,-0.109
0.500,-0.0147,0.020,-0.168
0.520,-0.0143,0.016,-0.211
0.540,-0.0141,0.011,-0.211
0.560,-0.0138,0.007,-0.168
0.580,-0.0138,0.004,-0.101
0.600,-0.0137,0.003,-0.059
0.620,-0.0137,0.003,-0.067
0.640,-0.0136,0.001,-0.109
0.660,-0.0136,-0.002,-0.135
0.680,-0.0137,-0.005,-0.126
0.700,-0.0138,-0.007,-0.118
0.720,-0.0139,-0.009,-0.135
0.740,-0.0142,-0.012,-0.168
0.760,-0.0144,-0.016,-0.185
0.780,-0.0148,-0.020,-0.160
0.800,-0.0153,-0.023,-0.093
0.820,-0.0158,-0.024,-0.008
0.840,-0.0162,-0.023,0.067
0.860,-0.0167,-0.021,0.126
0.880,-0.0171,-0.018,0.177
0.900,-0.0175,-0.014,0.227
0.920,-0.0177,-0.009,0.278
0.940,-0.0178,-0.003,0.328
0.960,-0.0178,0.004,0.371
0.980,-0.0177,0.012,0.404
1.000,-0.0173,0.020,0.455
